Start,Duration,Pitch,Velocity,Instrument
1.0,0.0,38,117,
1.25,0.0,43,116,
1.5,0.0,41,115,
2.0,0.13249712922886672,67,127,
2.0,0.13249712922886672,60,127,
2.0,0.13249712922886672,64,127,
2.0,0.13249712922886672,36,122,
2.0,0.13249712922886672,48,127,
2.0,0.13249712922886672,55,127,
2.0,0.13249712922886672,60,127,
2.0,0.13249712922886672,64,127,
2.0,0.13249712922886672,72,112,
2.0,0.13249712922886672,84,112,
2.0,0.13249712922886672,72,112,
2.0,0.13249712922886672,84,112,
2.0,0.13249712922886672,72,112,
2.0,0.13249712922886672,72,112,
2.0,0.0,46,111,
2.0,0.0,38,111,
2.0,0.35332567794364456,72,125,
2.0,0.35332567794364456,84,125,
2.0,0.5299885169154669,67,118,
2.0,0.5299885169154669,64,118,
2.0,0.5299885169154669,79,118,
2.0,0.5299885169154669,76,118,
2.0,0.13249712922886672,84,112,
2.25,0.13249712922886672,72,112,
2.25,0.13249712922886672,84,112,
2.25,0.13249712922886672,72,112,
2.25,0.13249712922886672,84,112,
2.25,0.13249712922886672,72,112,
2.25,0.13249712922886672,72,112,
2.25,0.13249712922886672,84,112,
2.6666666666666665,0.0,66,100,
2.6666666666666665,0.0,78,100,
2.75,0.0,36,120,
2.75,0.13249712922886672,65,90,
2.75,0.13249712922886672,77,90,
3.0,0.13249712922886672,38,104,
3.0,0.13249712922886672,46,104,
3.0,0.13249712922886672,64,80,
3.0,0.13249712922886672,76,80,
3.0,0.13249712922886672,62,70,
3.0,0.13249712922886672,74,70,
3.25,0.0,60,55,
3.25,0.0,72,55,
3.25,0.0,59,55,
3.25,0.0,71,55,
3.25,0.0,57,45,
3.25,0.0,69,45,
3.3333333333333335,0.0,55,35,
3.3333333333333335,0.0,67,35,
3.5,0.13249712922886672,67,127,
3.5,0.13249712922886672,60,127,
3.5,0.13249712922886672,64,127,
3.5,0.13249712922886672,36,122,
3.5,0.13249712922886672,48,127,
3.5,0.13249712922886672,55,127,
3.5,0.13249712922886672,60,127,
3.5,0.13249712922886672,64,127,
3.5,0.13249712922886672,72,112,
3.5,0.13249712922886672,84,112,
3.5,0.13249712922886672,72,112,
3.5,0.13249712922886672,84,112,
3.5,0.13249712922886672,72,112,
3.5,0.13249712922886672,72,112,
3.5,0.13249712922886672,36,106,
3.5,0.13249712922886672,46,106,
3.5,0.13249712922886672,38,106,
3.5,0.13249712922886672,84,112,
3.75,0.13249712922886672,72,112,
3.75,0.13249712922886672,84,112,
3.75,0.13249712922886672,72,112,
3.75,0.13249712922886672,84,112,
3.75,0.13249712922886672,72,112,
3.75,0.13249712922886672,72,112,
3.75,0.13249712922886672,36,120,
3.75,0.13249712922886672,84,112,
4.0,0.0,38,98,
4.0,0.0,46,98,
4.5,0.0,36,120,
5.0,0.13249712922886672,72,111,
5.0,0.13249712922886672,84,114,
5.0,0.13249712922886672,72,113,
5.0,0.13249712922886672,72,127,
5.0,0.0,45,127,
5.25,0.13249712922886672,67,110,
5.25,0.13249712922886672,79,114,
5.25,0.13249712922886672,67,113,
5.25,0.13249712922886672,67,127,
5.25,0.0,43,120,
5.5,0.13249712922886672,69,110,
