0	1807	"intro"
1807	3406	"bridge A"
3406	4827	"verse A"
4827	6249	"verse A"
6249	7403	"verse B"
7403	8558	"verse C"
8558	8736	"pre-chorus"
8736	10157	"chorus A"
10157	10335	"post-chorus"
10335	11756	"verse A"
11756	13178	"verse A"
13178	14333	"verse B"
14333	15488	"verse C"
15488	15665	"pre-chorus"
15665	17087	"chorus A"
17087	17442	"post-chorus"
17442	18863	"bridge B"
18863	20285	"bridge C"
20285	21440	"verse B"
21440	22594	"verse C"
22594	22772	"pre-chorus"
22772	24193	"chorus A"
24193	25615	"chorus A"
25615	27036	"chorus A"
27036	31422	"ending"
