8	8	384
70	70	48
132	132	96
194	194	144
256	256	384
317	317	48
379	379	96
441	441	144
503	503	384
565	565	48
627	627	96
688	688	144
750	750	384
812	812	48
874	874	96
936	936	144
998	998	384
1060	1060	48
1121	1121	96
1183	1183	144
1245	1245	384
1307	1307	48
1369	1369	96
1431	1431	144
1493	1493	384
1554	1554	48
1616	1616	96
1678	1678	144
1740	1740	384
1802	1802	48
1864	1864	96
1926	1926	144
1988	1988	384
2049	2049	48
2111	2111	96
2173	2173	144
2235	2235	384
2297	2297	48
2359	2359	96
2420	2420	144
2482	2482	384
2544	2544	48
2606	2606	96
2668	2668	144
2730	2730	384
2792	2792	48
2853	2853	96
2915	2915	144
2977	2977	384
3039	3039	48
3101	3101	96
3163	3163	144
3225	3225	384
3286	3286	48
3348	3348	96
3410	3410	144
3472	3472	384
3534	3534	48
3596	3596	96
3657	3657	144
3719	3719	384
3781	3781	48
3843	3843	96
3905	3905	144
3967	3967	384
4029	4029	48
4090	4090	96
4152	4152	144
4214	4214	384
4276	4276	48
4338	4338	96
4400	4400	144
4462	4462	384
4523	4523	48
4585	4585	96
4647	4647	144
4709	4709	384
4771	4771	48
4833	4833	96
4894	4894	144
4957	4957	384
5018	5018	48
5080	5080	96
5142	5142	144
5204	5204	384
5266	5266	48
5327	5327	96
5389	5389	144
5451	5451	384
5513	5513	48
5575	5575	96
5637	5637	144
5699	5699	384
5761	5761	48
5822	5822	96
5884	5884	144
5946	5946	384
6008	6008	48
6070	6070	96
6132	6132	144
6194	6194	384
6255	6255	48
6317	6317	96
6379	6379	144
6441	6441	384
6503	6503	48
6565	6565	96
6626	6626	144
6688	6688	384
6750	6750	48
6812	6812	96
6874	6874	144
6936	6936	384
6998	6998	48
7059	7059	96
7121	7121	144
7183	7183	384
7245	7245	48
7307	7307	96
7369	7369	144
7430	7430	384
7492	7492	48
7554	7554	96
7616	7616	144
7678	7678	384
7740	7740	48
7802	7802	96
7863	7863	144
7925	7925	384
7987	7987	48
8049	8049	96
8111	8111	144
8173	8173	384
8235	8235	48
8297	8297	96
8358	8358	144
8420	8420	384
8482	8482	48
8544	8544	96
8606	8606	144
8668	8668	384
8729	8729	48
8791	8791	96
8853	8853	144
8915	8915	384
8977	8977	48
9039	9039	96
9101	9101	144
9162	9162	384
9224	9224	48
9286	9286	96
9348	9348	144
9410	9410	384
9472	9472	48
9534	9534	96
9595	9595	144
9657	9657	384
9719	9719	48
9781	9781	96
9843	9843	144
9905	9905	384
9967	9967	48
10028	10028	96
10090	10090	144
10152	10152	384
10214	10214	48
10276	10276	96
10338	10338	144
10400	10400	384
10461	10461	48
10523	10523	96
10585	10585	144
10647	10647	384
10709	10709	48
10771	10771	96
10833	10833	144
10894	10894	384
10956	10956	48
11018	11018	96
11080	11080	144
11142	11142	384
11204	11204	48
11266	11266	96
11327	11327	144
11389	11389	384
11451	11451	48
11513	11513	96
11575	11575	144
11637	11637	384
11698	11698	48
11760	11760	96
11822	11822	144
11884	11884	384
11946	11946	48
12008	12008	96
12070	12070	144
12132	12132	384
12193	12193	48
12255	12255	96
12317	12317	144
12379	12379	384
12441	12441	48
12503	12503	96
12565	12565	144
12626	12626	384
12688	12688	48
12750	12750	96
12812	12812	144
12874	12874	384
12936	12936	48
12997	12997	96
13059	13059	144
13121	13121	384
13183	13183	48
13245	13245	96
13307	13307	144
13369	13369	384
13430	13430	48
13492	13492	96
13554	13554	144
13616	13616	384
13678	13678	48
13740	13740	96
13802	13802	144
13863	13863	384
13925	13925	48
13987	13987	96
14049	14049	144
14111	14111	384
14173	14173	48
14234	14234	96
14296	14296	144
14358	14358	384
14420	14420	48
14482	14482	96
14544	14544	144
14606	14606	384
14667	14667	48
14729	14729	96
14791	14791	144
14853	14853	384
14915	14915	48
14977	14977	96
15039	15039	144
15100	15100	384
15162	15162	48
15224	15224	96
15286	15286	144
15348	15348	384
15410	15410	48
15472	15472	96
15534	15534	144
15595	15595	384
15657	15657	48
15719	15719	96
15781	15781	144
15843	15843	384
15905	15905	48
15966	15966	96
16028	16028	144
16090	16090	384
16152	16152	48
16214	16214	96
16276	16276	144
16338	16338	384
16399	16399	48
16461	16461	96
16523	16523	144
16585	16585	384
16647	16647	48
16709	16709	96
16771	16771	144
16832	16832	384
16894	16894	48
16956	16956	96
17018	17018	144
17080	17080	384
17142	17142	48
17204	17204	96
17265	17265	144
17327	17327	384
17389	17389	48
17451	17451	96
17513	17513	144
17575	17575	384
17636	17636	48
17698	17698	96
17760	17760	144
17822	17822	384
17884	17884	48
17946	17946	96
18008	18008	144
18070	18070	384
18131	18131	48
18193	18193	96
18255	18255	144
18317	18317	384
18379	18379	48
18441	18441	96
18502	18502	144
18564	18564	384
18626	18626	48
18688	18688	96
18750	18750	144
18812	18812	384
18874	18874	48
18935	18935	96
